GOVT.MIDDILE SCHOOL SARAIGAHNA,,SARAIGAHANA,22012002303,,
GOVT.PRIMARY SCHOOL SALBA,,SALVA,22012002401,,
GOVT.PRIMARY SCHOOL JAMDIPARA,,SALVA,22012002402,,
GOVT.MIDDILE SCHOOL SALBA,,SALVA,22012002403,,
GOVT.PRIMARY SCHOOL SURMI,,SURMI,22012002501,,
GOVT.PRIMARY SCHHOL AMARPUR,,AMARPUR,22012002601,,
GOVT.PRIMARY SCHOOL JHALRAPARA,,AMARPUR,22012002602,,
GOVT.MIDDILE SCHOOL AMARPUR,,AMARPUR,22012002603,,
GOVT.PRIMARY SCHOOL SARA,,SARA,22012002701,,
GOVT.MIDDILE SCHOOL SARA,,SARA,22012002702,,
GOVT.PRIMARY SCHOOL BANGALIPARA,,SARA,22012002703,,
GOVT. GIRLS ASHRAM SARA,,SARA,22012002705,,
GOVT. HIGHER SECONDARY SCHOOL SARA,,SARA,22012002706,,
GOVT.PRIMARY SCHOOL JALIYADAND,,JALIYADAND,22012002801,,
GOVT.PRIMARY SCHOOL GADBADI,,GADBADI,22012002901,,
GOVT.PRIMARY SCHOOL KANTAHIYAPARA,,GADBADI,22012002902,,
GOVT.MIDDILE SCHOOL GADBADI,,GADBADI,22012002903,,
GOVT.PRIMARY SCHOOL KARILDHOVA,,KARILDHOVA,22012003001,,
GOVT.PRIMARY SCHOOL SHANKARPUR,,SHANKARPUR,22012003101,,
GOVT.PRIMARY SCHOOL BOY CHARCHA COLORY,,CHARCHA COLORY,22012003203,,
GOVT.PRIMARY SCHOOL RELWAY WARD CHARCHA,,CHARCHA COLORY,22012003206,,
GOVT GIRLS HIGHER SECONDRY SCHOOL CHARCHA,,CHARCHA COLORY,22012003214,,
GOVT BOYS HIGHER SECONDARY SCHOOL CHARCHA,,CHARCHA COLORY,22012003215,,
GOVT.PRIMARY SCHOOL SHIVPUR,,SHIVPUR,22012003301,,
GOVT.PRIMARY SCHOOL SHIVPUR,,SHIVPUR,22012003302,,
GOVT.MIDDILE SCHOOL BOY CHARCHA,,SHIVPUR,22012003303,,
GOVT.PRIMARY SCHOOL HARIJANPARA,,SHIVPUR,22012003305,,
GOVT.MIDDILE SCHOOL SHIVPUR (SSA),,SHIVPUR,22012003307,,
GOVT.PRIMARY SCHOOL CHERVAPARA,,CHERWAPARA,22012003402,,
GOVT.PRIMARY SCHOOL BOY SARADI,,SARADI,22012003501,,
GOVT.MIDDILE SCHOOL GIRLS  CHARCHA,,SARADI,22012003503,,
GOVT.MIDDILE SCHOOL SARADI,,SARADI,22012003504,,
GOVT. HIGH SCHOOL SARDI,,SARADI,22012003507,,
GOVT.PRIMARY SCHOOL PANDOPARA,,PANDOPARA,22012003601,,
GOVT.PRIMARY SCHOOL PANDOPARA(CHARCH),,PANDOPARA,22012003602,,
GOVT.PRIMARY SCHOOL AMGAON,,AMAGAON,22012003801,,
GOVT.PRIMARY SCHOOL KATOLIPARA,,AMAGAON,22012003802,,
GOVT.PRIMARY SCHOOL  MANAPARA,,AMAGAON,22012003804,,
GOVT.MIDDILE SCHOOL AMGAON,,AMAGAON,22012003805,,
GOVT.PRIMARY SCHOOL MAHUAPARA,,MAHUAPARA,22012003901,,
GOVT.PRIMARY SCHOOL MAHUAPARA,,MAHUAPARA,22012003902,,
GOVT.PRIMARY SCHOOL JAMNIPARA,,KHARVAT,22012004001,,
GOVT.PRIMARY SCHOOL KHARVAT,,KHARVAT,22012004002,,
GOVT.BOY MIDDILE SCHOOL KHARWAT,,KHARVAT,22012004003,,
GOVT.MIDDILE SCHOOL GIRL. KHARVAT,,KHARVAT,22012004004,,
GOVT HIGHER SECONDARY SCHOOL KHARVAT,,KHARVAT,22012004007,,
GOVT.PRIMARY SCHOOL TALVAPARA,,TALVAPARA,22012004101,,
GOVT.PRIMARY SCHOOL ODGI,,ODGI,22012004202,,
GOVT.MIDDILE SCHOOL  ODGI,,ODGI,22012004203,,
GOVT.PRIMARY SCHOOL CHHARCHHA,,CHHARCHHA,22012004401,,
GOVT.MIDDILE SCHOOL CHHARCHHA,,CHHARCHHA,22012004404,,
GOVT.PRIMARY SCHOOL DUGHANIYAKALA,,DUDHANIYAKALA,22012004501,,
GOVT.MIDDILE SCHOOL DUDHANIYAKALA,,DUDHANIYAKALA,22012004502,,
GOVT.PRIMARY SCHOOL URUMDUGA,,URUMDUGA,22012004601,,
GOVT.MIDDILE SCHOOL  URUMDUGA,,URUMDUGA,22012004602,,
GOVT.PRIMARY SCHOOL RAKAYA,,RAKAYA,22012004701,,
GOVT.MIDDILE SCHOOL RAKEYA,,RAKAYA,22012004702,,
GOVT.PRIMARY SCHOOL BILARO,,BILARO,22012004801,,
GOVT.PRIMARY SCHOOL  GAOTIYANPARA,,BILARO,22012004802,,
GOVT.MIDDILE SCHOOL BILARO,,BILARO,22012004803,,
GOVT.PRIMARY SCHOOL TENGNI,,TENGANI,22012004901,,
GOVT.PRIMARY SCHOOL TENGANI,,TENGANI,22012004902,,
GOVT.PRIMARY SCHOOL JUNAPARA,,TENGANI,22012004903,,
GOVT.MIDDILE SCHOOL TENGANI,,TENGANI,22012004905,,
GOVT.PRIMARY SCHOOL KHUTHANPARA,,TENGANI,22012004907,,
GOVT.HIGH SCHOOL TENGANI,,TENGANI,22012004908,,
GOVT.PRIMARY SCHOOL TEMARI,,TEMARI,22012005001,,
GOVT.PRIMARY SCHOOL JUDWANIPARA,,TEMARI,22012005002,,
GOVT.MIDDILE SCHOOL TEMRI,,TEMARI,22012005003,,
GOVT.PRIMARY SCHOOL  KHOND,,KHANDA,22012005101,,
GOVT.PRIMARY SCHOOL KHANDA,,KHANDA,22012005102,,
GOVT.MIDDILE SCHOOL .KHOND(SSA),,KHANDA,22012005103,,
GOVT.PRIMARY SCHOOL PANDAVPARA,,KHANDA,22012005106,,
GOVT.PRIMARY SCHOOL GIRL SORANGA,,SORANGA,22012005201,,
GOVT.PRIMARY SCHOOL SORANGA,,SORANGA,22012005202,,
GOVT.MIDDILE SCHOOL SORANGA,,SORANGA,22012005204,,
GOVT.PRIMARY SCHOOL KHALPARA,,SORANGA,22012005206,,
GOVT HIGHER SECONDARY SCHOOL SORANGA,,SORANGA,22012005207,,
ADIWASHI GIRLS ASHRAM SORANGA,,SORANGA,22012005208,,
GOVT.PRIMARY SCHOOL TENDUYA,,TENDUA,22012005301,,
GOVT.PRIMARY SCHOOL JHINGAPARA,,TENDUA,22012005302,,
GOVT.PRIMARY SCHOOL ANWRAPARA,,TENDUA,22012005303,,
GOVT MIDDILE SCHOOL TWD TNEDUA,,TENDUA,22012005304,,
GOVT.PRIMARY SCHOOL GAURBUDAPARA,,TENDUA,22012005305,,
GOVT.MIDDILE SCHOOL ANVRAPARA,,TENDUA,22012005306,,
GOVT.PRIMARY SCHOOL NARKELI BUDAR,,BUDAR,22012005501,,
GOVT.PRIMARY SCHOOL BARATRIHAPARA,,BUDAR,22012005503,,
GOVT.PRIMARY SCHOOL BUDAR (ANIHAPARA),,BUDAR,22012005504,,
GOVT.PRIMARY SCHOOL GIRL BUDAR,,BUDAR,22012005505,,
GOVT.MIDDILE SCHOOL GIRL BUDAR,,BUDAR,22012005507,,
